player_id,first_name,last_name,year,team,height,oreb_rate,dreb_rate,ast_rate,stl_rate,blk_rate,tov_rate,pts_hundred,usg_rate,per,ftr,ft_perc,fga_hundred,two_perc,two_m_ast,fga_dunk_perc,three_a_rate,three_a_corner_perc,three_perc,three_m_ast,zero_three_a_perc,three_ten_a_perc,ten_threep_a_perc,cluster,new_position,old_position,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9
2018cfryecle,channing,frye,2018,cle,84,1.2,16.4,8.6,0.9,1.3,9.5,18.8,17.5,8.9,0.12,0.786,17,0.289,0.727,0.017,0.675,0.076,0.405,0.969,0.043,0.077,0.205,2,Stretch Forward,C,2.18E-57,0.999999956,1.06E-19,0,4.17E-31,4.44E-08,0,1.43E-34,1.06E-209
2010sblakelal,steve,blake,2010,lal,75,1.4,9.5,15,1.3,0.1,18.6,10.7,11.3,7.5,0.098,0.867,10.2,0.327,0.595,0,0.631,0.394,0.378,0.932,0.039,0.078,0.252,6,Floor General,PG,4.25E-50,0.001294924,4.25E-21,0,1.47E-25,0.998705076,0,9.16E-35,4.21E-153
2010jbareadal,j.j.,barea,2010,dal,72,2.1,8.8,31.2,0.9,0,15.9,24.2,23.9,14.8,0.242,0.847,20.4,0.476,0.119,0,0.291,0.116,0.349,0.591,0.308,0.197,0.203,1,High Usage Guard,PG,0.976360237,3.55E-67,1.38E-07,0,6.80E-10,0.023639623,0,7.88E-35,5.43E-11
2016abrooksind,aaron,brooks,2016,ind,72,2.3,6.3,20.7,1.4,0.9,17.2,18,19.2,9.5,0.133,0.8,16.8,0.424,0.096,0,0.427,0.117,0.375,0.583,0.19,0.153,0.23,6,Floor General,PG,0.001334192,5.95E-41,0.000108846,0,9.83E-08,0.998556863,0,7.47E-35,1.55E-24
2013mgasolmem,marc,gasol,2013,mem,85,5,20.5,17.7,1.6,3.2,12,23.3,21.7,18.2,0.339,0.768,19.3,0.477,0.695,0.032,0.015,0,0.182,0.5,0.188,0.3,0.497,5,Versatile Role Player,C,7.17E-85,1.89E-70,5.68E-83,0,1,7.52E-16,0,6.40E-35,2.32E-44
2016yferrelldal,yogi,ferrell,2016,dal,72,1.7,9.7,24.1,2,0.6,12.9,20.3,19.5,14.1,0.212,0.877,17.2,0.418,0.207,0,0.432,0.134,0.403,0.567,0.194,0.101,0.27,6,Floor General,PG,0.023343831,1.20E-45,2.78E-05,0,2.02E-08,0.976628315,0,5.37E-35,3.10E-15
2016jwallwas,john,wall,2016,was,76,2.4,10.6,46.9,2.7,1.4,16.2,31.4,30.6,23.2,0.367,0.801,24.9,0.48,0.14,0.031,0.19,0.096,0.327,0.629,0.38,0.082,0.347,1,High Usage Guard,PG,0.731209827,8.11E-127,4.63E-25,0,5.64E-12,4.87E-09,0,5.32E-35,0.268790168
2012jtinsleyuta,jamaal,tinsley,2012,uta,75,1.6,9.5,34.1,2.8,0.9,30.2,9.9,13.1,10.6,0.111,0.692,10.1,0.439,0.298,0,0.543,0.079,0.307,0.846,0.107,0.175,0.175,6,Floor General,PG,9.28E-52,1.93E-31,1.19E-35,0,1.93E-10,1,0,4.75E-35,1.40E-125
2014ajeffersoncha,al,jefferson,2014,cha,82,5.3,25.5,11.6,1.2,3.3,5.9,28,26.3,19.7,0.163,0.655,26.2,0.482,0.597,0.015,0.005,0.2,0.4,0.5,0.282,0.362,0.35,5,Versatile Role Player,C,1.71E-39,1.15E-57,4.20E-49,0,1,1.01E-29,0,3.93E-35,8.93E-21
2018mconleymem,mike,conley,2018,mem,73,1.9,9.7,33.4,2,0.9,9.1,31.4,27.3,21.4,0.363,0.845,23.8,0.483,0.304,0,0.38,0.115,0.364,0.594,0.19,0.157,0.272,1,High Usage Guard,PG,0.996255365,1.92E-76,7.32E-17,0,7.11E-12,3.97E-05,0,2.61E-35,0.003704901
2016bknightphx,brandon,knight,2016,phx,75,2.3,9.1,17.8,1.1,0.4,12.9,25,25,12.4,0.293,0.857,22,0.425,0.171,0.011,0.265,0.245,0.324,0.511,0.246,0.158,0.329,1,High Usage Guard,SG,0.874649754,1.58E-51,5.51E-10,0,1.34E-06,0.125348743,0,2.55E-35,1.63E-07
2010cduhonorl,chris,duhon,2010,orl,73,1.4,6.3,22.4,1.1,0.2,30.3,8.5,12,5.6,0.194,0.56,8.8,0.468,0.194,0,0.403,0.173,0.25,0.769,0.256,0.217,0.124,6,Floor General,PG,2.86E-74,5.09E-21,2.71E-52,0,2.12E-06,0.999997882,0,2.49E-35,3.92E-103
2017rjacksondet,reggie,jackson,2017,det,75,2.6,9,32.8,1.1,0.3,13.5,27.2,27.1,15.9,0.232,0.836,24,0.475,0.088,0.009,0.293,0.142,0.308,0.577,0.156,0.251,0.3,1,High Usage Guard,PG,0.999601972,2.34E-73,4.69E-12,0,2.94E-11,0.000397991,0,2.29E-35,3.63E-08
2010jnelsonorl,jameer,nelson,2010,orl,72,1.9,9.3,33.7,1.7,0.1,17.6,22.6,22,15.4,0.193,0.802,19,0.471,0.137,0,0.354,0.165,0.401,0.622,0.209,0.121,0.316,1,High Usage Guard,PG,0.99071239,8.22E-60,2.78E-07,0,1.13E-11,0.009287332,0,2.27E-35,4.55E-10
2013ljamesmia,lebron,james,2013,mia,80,3.6,18.9,32,2.2,0.8,14.4,37.9,31,29.3,0.432,0.75,24.5,0.622,0.395,0.101,0.226,0.144,0.379,0.534,0.399,0.123,0.252,9,Ball Dominant Scorer,PF,9.72E-21,4.62E-107,5.07E-55,0,2.87E-14,5.42E-57,0,1.92E-35,1
2016mndournyk,maurice,ndour,2016,nyk,81,7.1,13.7,3.5,2.3,2,11,14.8,14.3,11.3,0.302,0.731,13,0.481,0.737,0.105,0.081,0.286,0.143,1,0.384,0.163,0.349,5,Versatile Role Player,PF,4.10E-206,5.03E-81,3.48E-153,0,1,1.99E-86,0,1.11E-35,6.05E-87
2016lwilliamslal,lou,williams,2016,lal,73,1.1,9.5,22.3,2.3,0.6,11.9,37.4,30.6,23.9,0.469,0.884,25.5,0.489,0.225,0.007,0.432,0.167,0.385,0.557,0.204,0.187,0.181,9,Ball Dominant Scorer,SG,7.20E-06,7.42E-68,5.37E-32,0,4.23E-21,4.37E-19,0,1.11E-35,0.999992803
2017nvonlehpor,noah,vonleh,2017,por,81,8.1,30,3.8,0.6,1.9,12,12.4,11.5,12,0.323,0.742,10,0.5,0.556,0.167,0.063,0,0.333,0.5,0.458,0.135,0.344,5,Versatile Role Player,PF,1.44E-76,1.10E-66,1.58E-39,0,1,1.08E-93,0,8.43E-36,8.88E-27
2013jterrybkn,jason,terry,2013,bkn,74,0.8,6.9,15.3,1.2,0,14.5,14.6,15.3,7.4,0.099,0.667,14,0.327,0.563,0,0.678,0.32,0.379,0.846,0.026,0.079,0.217,6,Floor General,PG,3.61E-59,0.00175049,1.42E-16,0,1.95E-19,0.99824951,0,8.35E-36,5.78E-213
